id_nomenclatura,estado_amenaza,codigo_int,id_amenaza
ICN,EN,988,E988
ICN,VU,989,E989
ICN,CR,990,E990
ICN,VU,991,E991
ICN,EN,992,E992
ICN,VU,993,E993
ICN,EN,994,E994
ICN,EN,995,E995
ICN,CR,996,E996
ICN,EN,997,E997
ICN,CR,998,E998
ICN,EN,999,E999
ICN,CR,1000,E1000
ICN,CR,1001,E1001
ICN,EN,1002,E1002
ICN,CR,1003,E1003
ICN,CR,1004,E1004
ICN,CR,1005,E1005
ICN,EN,1006,E1006
ICN,EN,1007,E1007
ICN,EN,1008,E1008
ICN,EN,1009,E1009
ICN,EN,1010,E1010
ICN,CR,1011,E1011
ICN,CR,1012,E1012
ICN,EN,1013,E1013
ICN,EN,1014,E1014
ICN,CR,1015,E1015
ICN,EN,1016,E1016
ICN,CR,1017,E1017
ICN,EN,1018,E1018
ICN,VU,1019,E1019
ICN,CR,1020,E1020
ICN,EN,1021,E1021
ICN,EN,1022,E1022
ICN,EN,1023,E1023
ICN,CR,1024,E1024
ICN,CR,1025,E1025
ICN,EN,1026,E1026
ICN,EN,1027,E1027
ICN,EN,1028,E1028
ICN,VU,1029,E1029
ICN,VU,1030,E1030
ICN,VU,1031,E1031
ICN,EN,1032,E1032
ICN,EN,1033,E1033
ICN,VU,1034,E1034
ICN,CR,1035,E1035
ICN,CR,1036,E1036
ICN,EN,1037,E1037
ICN,CR,1038,E1038
ICN,VU,1039,E1039
ICN,VU,1040,E1040
ICN,CR,1041,E1041
ICN,CR,1042,E1042
ICN,EN,1043,E1043
ICN,EN,1044,E1044
ICN,EN,1045,E1045
ICN,VU,1046,E1046
ICN,CR,1047,E1047
ICN,VU,1048,E1048
ICN,VU,1049,E1049
ICN,EN,1050,E1050
ICN,EN,1051,E1051
ICN,CR,1052,E1052
ICN,VU,1053,E1053
ICN,EN,1054,E1054
ICN,EN,1055,E1055
ICN,VU,1056,E1056
ICN,CR,1057,E1057
ICN,CR,1058,E1058
ICN,VU,1059,E1059
ICN,EN,1060,E1060
ICN,EN,1061,E1061
ICN,EN,1062,E1062
ICN,VU,1063,E1063
ICN,VU,1064,E1064
ICN,VU,1065,E1065
ICN,EN,1066,E1066
ICN,EN,1067,E1067
ICN,CR,1068,E1068
ICN,EN,1069,E1069
ICN,CR,1070,E1070
ICN,VU,1071,E1071
ICN,EN,1072,E1072
ICN,EN,1073,E1073
ICN,EN,1074,E1074
