codigo_int,genero,epiteto_especifico,epiteto_intraespecifico,nombre_vernaculo,codigo_clasificacion
1044,Berberis,meollacensis,NA,NA,CS1044
1045,Berberis,sumapazana,NA,NA,CS1045
1046,Berberis,tabiensis,NA,Uña de gato,CS1046
1047,Berberis,uribei,NA,NA,CS1047
1048,Capparidastrum,grandiflorum,NA,NA,CS1048
1049,Vasconcellea,sphaerocarpa,NA,Papaya de monte | Higuillo negro | Papayo silvestre,CS1049
1050,Monteverdia,corei,NA,NA,CS1050
1051,Brownea,santanderensis,NA,Ariza,CS1051
1052,Browneopsis,sanintiae,NA,NA,CS1052
1053,Libidibia,ebano,NA,Ébano,CS1053
1054,Chloroleucon,sempervivum,NA,Parasiempre,CS1054
1055,Clathrotropis,brunnea,NA,Sapán,CS1055
1056,Dipteryx,oleifera,NA,Choibá,CS1056
1057,Klugiodendron,umbrianum,NA,NA,CS1057
1058,Lonchocarpus,antioquiensis,NA,NA,CS1058
1059,Lupinus,colombiensis,NA,NA,CS1059
1060,Mimosa,trianae,NA,Yopo,CS1060
1061,Mora,oleifera,NA,Nato,CS1061
1062,Muellera,burkartii,NA,Macurutú,CS1062
1063,Ormosia,cuatrecasasii,NA,Chochos,CS1063
1064,Ormosia,revoluta,NA,NA,CS1064
1065,Peltogyne,purpurea,NA,Nazareno,CS1065
1066,Piptadenia,uliginosa,NA,NA,CS1066
1067,Prioria,copaifera,NA,Cativo,CS1067
1068,Pseudopiptadenia,colombiana,NA,NA,CS1068
1069,Swartzia,amabale,NA,NA,CS1069
1070,Swartzia,magdalenae,NA,Loto,CS1070
1071,Swartzia,mucronifera,NA,NA,CS1071
1072,Swartzia,radiale,NA,NA,CS1072
1073,Zapoteca,microcephala,NA,NA,CS1073
1074,Zygia,andaquiensis,NA,NA,CS1074
1075,Zygia,codonocalyx,NA,NA,CS1075
1076,Zygia,garcia-barrigae,NA,Carbonero,CS1076
1077,Zygia,hernandezii,NA,Rayado,CS1077
1078,Zygia,lehmannii,NA,Escobillo,CS1078
1079,Zygia,multipunctata,NA,NA,CS1079
1080,Acanthocladus,colombianus,NA,Manteco,CS1080
1081,Colombobalanus,excelsa,NA,Roble Negro,CS1081
1082,Quercus,humboldtii,NA,Roble,CS1082
1083,Juglans,neotropica,NA,Nogal,CS1083
1084,Perrottetia,calva,NA,Guayacán,CS1084
1085,Perrottetia,colorata,NA,NA,CS1085
1086,Perrottetia,guacharana,NA,NA,CS1086
1087,Perrottetia,maxima,NA,NA,CS1087
1088,Mayna,pubescens,NA,NA,CS1088
1089,Mayna,suaveolens,NA,Madroñito,CS1089
1090,Marila,geminata,NA,Estoraque,CS1090
1091,Anthodiscus,montanus,NA,NA,CS1091
1092,Caryocar,amygdaliferum,NA,Almendrón,CS1092
1093,Cordillera,platycalyx,NA,Mapurito montañero,CS1093
1094,Hirtella,enneandra,NA,NA,CS1094
1095,Hirtella,leonotis,NA,NA,CS1095
1096,Hirtella,magnifolia,NA,NA,CS1096
1097,Hirtella,maguirei,NA,NA,CS1097
1098,Hirtella,tubiflora,NA,NA,CS1098
1099,Hirtella,vesiculosa,NA,NA,CS1099
1100,Hymenopus,lasseri,NA,NA,CS1100
1101,Hymenopus,minutiflorus,NA,Carbonero,CS1101
1102,Leptobalanus,calvescens,NA,NA,CS1102
1103,Leptobalanus,cuatrecasasii,NA,NA,CS1103
1104,Leptobalanus,cuspidatus,NA,NA,CS1104
1105,Licania,arborea,NA,Garcero | Cañagria | Tapaliso,CS1105
1106,Licania,calvescens,NA,NA,CS1106
1107,Licania,cuspidata,NA,NA,CS1107
1108,Licania,durifolia,NA,NA,CS1108
1109,Licania,espinae,NA,NA,CS1109
1110,Licania,glauca,NA,NA,CS1110
1111,Licania,pittieri,NA,NA,CS1111
1112,Licania,platypus,NA,NA,CS1112
1113,Licania,silvae,NA,NA,CS1113
1114,Licania,sparsipilis,NA,NA,CS1114
1115,Moquilea,cabrerae,NA,Caimito,CS1115
1116,Moquilea,salicifolia,NA,NA,CS1116
1117,Moquilea,velata,NA,NA,CS1117
1118,Parinari,pachyphylla,NA,Perehuétano,CS1118
1119,Parinari,parvifolia,NA,NA,CS1119
